municipio,uf,ng
Bananeiras,PB,2
Bandeira,MG,6
Bandeira do Sul,MG,12
Bandeirante,SC,22
Bandeirantes,PR,16
Bandeirantes,MS,20
Bandeirantes do Tocantins,TO,22
Bannach,PA,26
Banzaê,BA,4
Barão,RS,14
Barão de Antonina,SP,12
Barão de Cocais,MG,14
Barão de Cotegipe,RS,18
Barão de Grajaú,MA,10
Barão de Melgaço,MT,22
Barão de Monte Alto,MG,16
Barão do Triunfo,RS,14
Baraúna,RN,6
Baraúna,PB,4
Barbacena,MG,20
Barbalha,CE,6
Barbosa,SP,10
Barbosa Ferraz,PR,18
Barcarena,PA,24
Barcelona,RN,2
Barcelos,AM,20
Bariri,SP,16
Barra,BA,12
Barra Bonita,SP,14
Barra Bonita,SC,20
Barra da Estiva,BA,6
Barra D’Alcântara,PI,12
Barra de Guabiraba,PE,2
Barra de Santa Rosa,PB,4
Barra de Santana,PB,4
Barra de Santo Antônio,AL,2
Barra de São Francisco,ES,10
Barra de São Miguel,PB,4
Barra de São Miguel,AL,2
Barra do Bugres,MT,20
Barra do Chapéu,SP,16
Barra do Choça,BA,4
Barra do Corda,MA,8
Barra do Garças,MT,16
Barra do Guarita,RS,22
Barra do Jacaré,PR,16
Barra do Mendes,BA,6
Barra do Ouro,TO,14
Barra do Piraí,RJ,32
Barra do Quaraí,RS,24
Barra do Ribeiro,RS,14
Barra do Rio Azul,RS,18
Barra do Rocha,BA,4
Barra do Turvo,SP,20
Barra dos Coqueiros,SE,2
Barra Funda,RS,16
Barra Longa,MG,18
Barra Mansa,RJ,32
Barra Velha,SC,16
Barracão,PR,22
Barracão,RS,14
Barras,PI,22
Barreira,CE,2
Barreiras,BA,20
Barreiras do Piauí,PI,18
Barreirinha,AM,20
Barreirinhas,MA,8
Barreiros,PE,2
Barretos,SP,16
Barrinha,SP,14
Barro,CE,6
Barro Alto,BA,4
Barro Alto,GO,16
Barro Duro,PI,12
Barro Preto,BA,4
Barrocas,BA,2
Barrolândia,TO,26
Barroquinha,CE,6
Barros Cassal,RS,16
Barroso,MG,18
Barueri,SP,18
Bastos,SP,14
Bataguassu,MS,24
Batalha,PI,22
Batalha,AL,4
Batatais,SP,16
Batayporã,MS,22
Baturité,CE,4
Bauru,SP,12
Bayeux,PB,2
Bebedouro,SP,14
Beberibe,CE,4
Bela Cruz,CE,6
Bela Vista,MS,30
Bela Vista da Caroba,PR,22
Bela Vista de Goiás,GO,14
Bela Vista de Minas,MG,16
Bela Vista do Maranhão,MA,12
Bela Vista do Paraíso,PR,14
Bela Vista do Piauí,PI,6
Bela Vista do Toldo,SC,14
Belágua,MA,6
Belém,PA,24
Belém,PB,2
Belém,AL,2
Belém de Maria,PE,2
Belém do Brejo do Cruz,PB,6
Belém do Piauí,PI,6
Belém do São Francisco,PE,6
Belford Roxo,RJ,20
Belmiro Braga,MG,30
Belmonte,BA,6
Belmonte,SC,22
Belo Campo,BA,4
Belo Horizonte,MG,14
Belo Jardim,PE,4
Belo Monte,AL,4
Belo Oriente,MG,12
Belo Vale,MG,16
Belterra,PA,16
Beneditinos,PI,12
Benedito Leite,MA,12
Benedito Novo,SC,16
Benevides,PA,22
Benjamin Constant,AM,18
Benjamin Constant do Sul,RS,16
Bento de Abreu,SP,14
Bento Fernandes,RN,2
Bento Gonçalves,RS,16
Bequimão,MA,8
Berilo,MG,6
Berizal,MG,6
Bernardino Batista,PB,4
Bernardino de Campos,SP,12
Bernardo do Mearim,MA,12
Bernardo Sayão,TO,22
Bertioga,SP,18
Bertolínia,PI,8
Bertópolis,MG,6
Beruri,AM,30
Betânia,PE,6
Betânia do Piauí,PI,4
Betim,MG,12
Bezerros,PE,4
Bias Fortes,MG,28
Bicas,MG,24
Biguaçu,SC,18
Bilac,SP,12
Biquinhas,MG,12
Birigui,SP,12
Biritiba Mirim,SP,18
Biritinga,BA,4
Bituruna,PR,18
Blumenau,SC,18
Boa Esperança,MG,12
Boa Esperança,ES,8
Boa Esperança,PR,18
Boa Esperança do Iguaçu,PR,20
Boa Esperança do Sul,SP,18
Boa Hora,PI,16
Boa Nova,BA,6
Boa Ventura,PB,8
Boa Ventura de São Roque,PR,16
Boa Viagem,CE,4
Boa Vista,RR,10
Boa Vista,PB,4
Boa Vista da Aparecida,PR,22
Boa Vista das Missões,RS,18
Boa Vista do Buricá,RS,20
Boa Vista do Cadeado,RS,26
Boa Vista do Gurupi,MA,10
Boa Vista do Incra,RS,22
Boa Vista do Ramos,AM,20
Boa Vista do Sul,RS,16
Boa Vista do Tupim,BA,6
Boca da Mata,AL,2
Boca do Acre,AM,16
Bocaina,PI,14
Bocaina,SP,16
Bocaina de Minas,MG,28
Bocaina do Sul,SC,14
Bocaiúva,MG,10
Bocaiúva do Sul,PR,16
Bodó,RN,6
Bodocó,PE,6
Bodoquena,MS,22
Bofete,SP,16
Boituva,SP,16
Bom Conselho,PE,4
Bom Despacho,MG,14
Bom Jardim,MA,12
Bom Jardim,PE,2
Bom Jardim,RJ,22
Bom Jardim da Serra,SC,12
Bom Jardim de Goiás,GO,14
Bom Jardim de Minas,MG,26
Bom Jesus,PI,12
Bom Jesus,RN,2
Bom Jesus,PB,4
Bom Jesus,SC,18
Bom Jesus,RS,12
Bom Jesus da Lapa,BA,14
Bom Jesus da Penha,MG,16
Bom Jesus da Serra,BA,4
Bom Jesus das Selvas,MA,6
Bom Jesus de Goiás,GO,14
Bom Jesus do Amparo,MG,14
Bom Jesus do Araguaia,MT,18
Bom Jesus do Galho,MG,12
Bom Jesus do Itabapoana,RJ,14
Bom Jesus do Norte,ES,12
Bom Jesus do Oeste,SC,18
Bom Jesus do Sul,PR,22
Bom Jesus do Tocantins,PA,14
Bom Jesus do Tocantins,TO,22
Bom Jesus dos Perdões,SP,18
Bom Lugar,MA,16
Bom Princípio,RS,14
Bom Princípio do Piauí,PI,8
Bom Progresso,RS,20
Bom Repouso,MG,14
Bom Retiro,SC,14
Bom Retiro do Sul,RS,18
Bom Sucesso,PB,6
Bom Sucesso,MG,10
Bom Sucesso,PR,18
Bom Sucesso de Itararé,SP,16
Bom Sucesso do Sul,PR,20
Bombinhas,SC,16
Bonfm,RR,10
Bonfm,MG,12
Bonfm do Piauí,PI,6
Bonfnópolis,GO,16
Bonfnópolis de Minas,MG,12
Boninal,BA,4
Bonito,PA,14
Bonito,PE,2
Bonito,BA,4
Bonito,MS,22
Bonito de Minas,MG,10
Bonito de Santa Fé,PB,6
Bonópolis,GO,16
Boqueirão,PB,4
Boqueirão do Leão,RS,18
Boqueirão do Piauí,PI,12
Boquim,SE,2
Boquira,BA,14
Borá,SP,16
Boraceia,SP,12
Borba,AM,26
Borborema,PB,2
Borborema,SP,16
Borda da Mata,MG,14
Borebi,SP,16
Borrazópolis,PR,16
Bossoroca,RS,28
Botelhos,MG,12
Botucatu,SP,16
Botumirim,MG,8
Botuporã,BA,6
Botuverá,SC,18
Bozano,RS,26
Braço do Norte,SC,16
Braço do Trombudo,SC,14
Braga,RS,20
Bragança,PA,10
Bragança Paulista,SP,16
Braganey,PR,22
Branquinha,AL,2
Brás Pires,MG,18
Brasil Novo,PA,8
Brasilândia,MS,26
Brasilândia de Minas,MG,12
Brasilândia do Sul,PR,20
Brasilândia do Tocantins,TO,22
Brasileia,AC,14
Brasileira,PI,16
Brasília,DF,16
Brasília de Minas,MG,10
Brasnorte,MT,14
Braúna,SP,12
Braúnas,MG,16
Brazabrantes,GO,16
Brazópolis,MG,14
Brejão,PE,2
Brejetuba,ES,10
Brejinho,RN,2
Brejinho,PE,8
Brejinho de Nazaré,TO,24
Brejo,MA,20
Brejo Alegre,SP,10
Brejo da Madre de Deus,PE,4
Brejo de Areia,MA,10
Brejo do Cruz,PB,6
Brejo do Piauí,PI,8
Brejo dos Santos,PB,6
Brejo Grande,SE,2
Brejo Grande do Araguaia,PA,12
Brejo Santo,CE,8
Brejões,BA,2
Brejolândia,BA,12
Breu Branco,PA,14
Breves,PA,24
Britânia,GO,12
Brochier,RS,14
Brodowski,SP,16
Brotas,SP,16
Brotas de Macaúbas,BA,10
Brumadinho,MG,14
Brumado,BA,6
Brunópolis,SC,16
Brusque,SC,18
Bueno Brandão,MG,14
Buenópolis,MG,10
Buenos Aires,PE,2
Buerarema,BA,2
Bugre,MG,10
Buíque,PE,4
Bujari,AC,14
Bujaru,PA,24
Buri,SP,18
Buritama,SP,12
Buriti,MA,20
Buriti Alegre,GO,18
Buriti Bravo,MA,8
Buriti de Goiás,GO,12
Buriti do Tocantins,TO,14
Buriti dos Lopes,PI,10
Buriti dos Montes,PI,8
Buriticupu,MA,10
Buritinópolis,GO,16
Buritirama,BA,8
Buritirana,MA,12
Buritis,RO,18
Buritis,MG,16
Buritizal,SP,14
Buritizeiro,MG,14
Butiá,RS,16
Caapiranga,AM,24
Caaporã,PB,2
Caarapó,MS,24
Caatiba,BA,4
Cabaceiras,PB,4
Cabaceiras do Paraguaçu,BA,4
Cabeceira Grande,MG,14
Cabeceiras,GO,12
Cabeceiras do Piauí,PI,14
Cabedelo,PB,2
Cabixi,RO,14
Cabo de Santo Agostinho,PE,2
Cabo Frio,RJ,14
Cabo Verde,MG,12
Cabrália Paulista,SP,14
Cabreúva,SP,16
Cabrobó,PE,4
Caçador,SC,18
Caçapava,SP,20
Caçapava do Sul,RS,20
Cacaulândia,RO,12
Cacequi,RS,22
Cáceres,MT,20
Cachoeira,BA,4
Cachoeira Alta,GO,14
Cachoeira da Prata,MG,10
Cachoeira de Goiás,GO,14
Cachoeira de Minas,MG,12
Cachoeira de Pajeú,MG,8
Cachoeira do Arari,PA,14
Cachoeira do Piriá,PA,16
Cachoeira do Sul,RS,18
Cachoeira dos Índios,PB,4
Cachoeira Dourada,MG,16
Cachoeira Dourada,GO,14
Cachoeira Grande,MA,12
Cachoeira Paulista,SP,18
Cachoeiras de Macacu,RJ,22
Cachoeirinha,TO,10
Cachoeirinha,PE,4
Cachoeirinha,RS,12
Cachoeiro de Itapemirim,ES,12
Cacimba de Areia,PB,8
Cacimba de Dentro,PB,2
Cacimbas,PB,8
Cacimbinhas,AL,4
Cacique Doble,RS,14
Cacoal,RO,12
Caconde,SP,14
Caçu,GO,16
Caculé,BA,4
Caém,BA,4
Caetanópolis,MG,10
Caetanos,BA,4
Caeté,MG,14
Caetés,PE,4
Caetité,BA,6
Cafarnaum,BA,4
Cafeara,PR,16
Cafelândia,SP,12
Cafelândia,PR,18
Cafezal do Sul,PR,22
Caiabu,SP,14
Caiana,MG,14
Caiapônia,GO,18
Caibaté,RS,24
Caibi,SC,20
Caiçara,PB,2
Caiçara,RS,22
Caiçara do Norte,RN,4
Caiçara do Rio do Vento,RN,4
Caicó,RN,8
Caieiras,SP,20
Cairu,BA,2
Caiuá,SP,20
Cajamar,SP,18
Cajapió,MA,18
Cajari,MA,16
Cajati,SP,18
Cajazeiras,PB,4
Cajazeiras do Piauí,PI,10
Cajazeirinhas,PB,10
Cajobi,SP,14
Cajueiro,AL,2
Cajueiro da Praia,PI,6
Cajuri,MG,12
Cajuru,SP,18
Calçado,PE,4
Calçoene,AP,6
Caldas,MG,14
Caldas Brandão,PB,2
Caldas Novas,GO,16
Caldazinha,GO,14
Caldeirão Grande,BA,4
Caldeirão Grande do Piauí,PI,6
Califórnia,PR,18
Calmon,SC,18
Calumbi,PE,6
Camacan,BA,4
Camaçari,BA,2
Camacho,MG,12
Camalaú,PB,4
Camamu,BA,2
Camanducaia,MG,18
Camapuã,MS,22
Camaquã,RS,14
Camaragibe,PE,2
Camargo,RS,18
Cambará,PR,16
Cambará do Sul,RS,14
Cambé,PR,16
Cambira,PR,18
Camboriú,SC,18
Cambuci,RJ,18
Cambuí,MG,14
Cambuquira,MG,12
Cametá,PA,24
Camocim,CE,6
Camocim de São Félix,PE,2
Campanário,MG,10
Campanha,MG,12
Campestre,AL,2
Campestre,MG,12
Campestre da Serra,RS,12
Campestre de Goiás,GO,14
Campestre do Maranhão,MA,12
Campina da Lagoa,PR,22
Campina das Missões,RS,24
Campina do Monte Alegre,SP,14
Campina do Simão,PR,16
Campina Grande,PB,4
Campina Grande do Sul,PR,16
Campina Verde,MG,20
Campinaçu,GO,16
Campinápolis,MT,18
Campinas,SP,18
Campinas do Piauí,PI,8
Campinas do Sul,RS,16
Campinorte,GO,16
Campo Alegre,AL,2
Campo Alegre,SC,16
Campo Alegre de Goiás,GO,14
Campo Alegre de Lourdes,BA,8
Campo Alegre do Fidalgo,PI,6
Campo Azul,MG,10
Campo Belo,MG,12
Campo Belo do Sul,SC,14
Campo Bom,RS,14
Campo Bonito,PR,22
Campo do Brito,SE,2
Campo do Meio,MG,10
Campo do Tenente,PR,14
Campo Erê,SC,22
Campo Florido,MG,16
Campo Formoso,BA,6
Campo Grande,RN,6
Campo Grande,AL,2
Campo Grande,MS,30
Campo Grande do Piauí,PI,8
Campo Largo,PR,14
Campo Largo do Piauí,PI,22
Campo Limpo de Goiás,GO,16
Campo Limpo Paulista,SP,18
Campo Magro,PR,12
Campo Maior,PI,14
Campo Mourão,PR,18
Campo Novo,RS,20
Campo Novo de Rondônia,RO,16
Campo Novo do Parecis,MT,16
Campo Redondo,RN,4
Campo Verde,MT,26
Campos Altos,MG,14
Campos Belos,GO,14
Campos Borges,RS,18
Campos de Júlio,MT,18
Campos do Jordão,SP,16
Campos dos Goytacazes,RJ,16
Campos Gerais,MG,10
Campos Lindos,TO,20
Campos Novos,SC,16
Campos Novos Paulista,SP,16
Campos Sales,CE,4
Campos Verdes,GO,14
Camutanga,PE,2
Cana Verde,MG,12
Canaã,MG,10
Canaã dos Carajás,PA,18
Canabrava do Norte,MT,16
Cananeia,SP,16
Canapi,AL,4
Canápolis,BA,10
Canápolis,MG,18
Canarana,BA,4
Canarana,MT,18
Canas,SP,18
Canavieira,PI,8
Canavieiras,BA,6
Candeal,BA,4
Candeias,BA,2
Candeias,MG,12
Candeias do Jamari,RO,18
Candelária,RS,16
Candiba,BA,6
Cândido de Abreu,PR,16
Cândido Godói,RS,24
Cândido Mendes,MA,6
Cândido Mota,SP,16
Cândido Rodrigues,SP,18
Cândido Sales,BA,4
Candiota,RS,14
Candói,PR,20
Canela,RS,12
Canelinha,SC,18
Canguaretama,RN,2
Canguçu,RS,16
Canhoba,SE,4
Canhotinho,PE,2
Canindé,CE,6
Canindé de São Francisco,SE,4
Canitar,SP,14
Canoas,RS,14
Canoinhas,SC,14
Cansanção,BA,4
Cantá,RR,10
Cantagalo,MG,12
Cantagalo,RJ,20
Cantagalo,PR,18
Cantanhede,MA,16
Canto do Buriti,PI,10
Canudos,BA,4
Canudos do Vale,RS,20
Canutama,AM,18
Capanema,PA,12
Capanema,PR,24
Capão Alto,SC,12
Capão Bonito,SP,20
Capão Bonito do Sul,RS,12
Capão da Canoa,RS,14
Capão do Cipó,RS,28
Capão do Leão,RS,12
Caparaó,MG,12
Capela,AL,2
Capela,SE,4
Capela de Santana,RS,14
Capela do Alto,SP,18
Capela do Alto Alegre,BA,4
Capela Nova,MG,20
Capelinha,MG,8
Capetinga,MG,14
Capim,PB,2
Capim Branco,MG,10
Capim Grosso,BA,2
Capinópolis,MG,14
Capinzal,SC,16
Capinzal do Norte,MA,14
Capistrano,CE,4
Capitão,RS,20
Capitão Andrade,MG,8
Capitão de Campos,PI,12
Capitão Enéas,MG,8
Capitão Gervásio Oliveira,PI,6
Capitão Leônidas Marques,PR,24
Capitão Poço,PA,16
Capitólio,MG,14
Capivari,SP,16
Capivari de Baixo,SC,14
Capivari do Sul,RS,10
Capixaba,AC,10
Capoeiras,PE,4
Caputira,MG,10
Caraá,RS,14
Caracaraí,RR,20
Caracol,PI,8
Caracol,MS,26
Caraguatatuba,SP,16
Caraí,MG,6
Caraíbas,BA,4
Carambeí,PR,12
Caranaíba,MG,20
Carandaí,MG,20
Carangola,MG,14
Carapebus,RJ,12
Carapicuíba,SP,18
Caratinga,MG,12
Carauari,AM,20
Caraúbas,RN,6
Caraúbas,PB,4
Caraúbas do Piauí,PI,14
Caravelas,BA,6
Carazinho,RS,18
Carbonita,MG,8
Cardeal da Silva,BA,2
Cardoso,SP,14
Cardoso Moreira,RJ,12
Careaçu,MG,12
Careiro,AM,26
